,0,1,2,3,4
A24_02_1FE,1.0198174862188457e-47,0.25710333012473735,0.024349579894645264,0.07518145419164403,0.021111384559668784
A49_01_1FE,1.0917512631509093e-05,0.0013770634713883537,0.25423679929975196,0.08626298226415444,0.013929401249329506
A10_02_1FE,2.237630009783166e-47,0.009404592961949378,0.06303764148087929,0.1655523536059521,0.10054068722798172
AS51_0,0.23224769532905476,1.3767420189149453e-56,2.8363747663154975e-06,0.04658480049335911,5.805914577723609e-07
A23_01_1FE,8.429927895407677e-56,0.0513321543999781,0.01782154520350029,0.03209085989078762,0.29354802030105254
A54_02_1FE,1.9728219718913614e-69,0.15616190693861953,0.0701814079914637,0.0998441099013251,0.038180791108578235
AS51_3,0.2577223741026089,5.408437834888144e-89,3.3082598533266466e-58,0.019582022295545082,2.824343771685881e-29
AS44_24,0.2648114351683562,1.0954894003836554e-59,1.645533363835032e-38,0.011449272053854015,0.0008622437693870318
AS51_6,0.2761944637288029,1.400162903665481e-90,3.5342108989789116e-65,2.118311467007577e-10,2.4875026619283522e-23
A56_01_1FE,0.0003764537378484118,0.016585826219738222,0.06785996964404072,0.20863689550528422,0.027503455895018767
A29_01_1FE,0.023959126981097024,0.010254896563054287,0.07863713129381732,0.04167959107584309,0.22039714326987325
A82_02_1FE,1.4498075964728697e-25,0.06546610440579166,0.003316855342869529,0.025472658963954998,0.30425835977102283
A39_02_1FE,0.18397767678290203,0.030570421380597894,0.031776449397937626,0.04911551521138048,0.003282489163667777
A48_05_1FE,0.0018147913785280846,0.39429245708937494,3.7270580249606946e-16,0.009060448330856464,3.5297646823894553e-09
AS56_24,0.25473840059468317,0.0010542130010614168,1.0035523350160148e-55,8.219211612255967e-29,0.030696841870764296
A66_02_1FE,3.2084607364990875e-05,0.334800961598806,0.015574870275111976,0.009274984637612133,0.04496643046443618
A36_02_1FE,0.00012084716306343564,0.029256607990691384,0.1839971916121951,0.11629922449686728,0.019439812037671138
A01_02_1FE,0.005155037837851084,0.1034882884617542,0.1608988857481519,0.035424448131653304,0.0756224314346573
AS56_3,0.2755237859401815,0.0009788170994687651,1.6234109685573528e-69,4.63255292347772e-48,1.591788045985398e-05
A34_01_1FE,0.0002497284748454896,0.029612535153828685,0.09541754949903544,0.19788021738824285,0.00012303174222252767
A13_01_1FE,0.00026832699079858005,0.028149027557795962,0.07500778744304323,0.004175115760995955,0.2938473629560846
A34_02_1FE,2.4795555599480984e-53,0.016322239457597112,0.01527227869106607,0.0020351341028735487,0.3731641401279468
A40_02_1FE,9.511233527248948e-53,0.072861040354323,0.013374049783957747,0.21613450875573087,0.019951944269182613
AS53_3,0.23509861961491135,0.0004326031448402232,2.167560408951782e-48,0.04322888582673463,3.782346404267121e-05
A20_01_1FE,1.8322687798511208e-05,0.3198580560508909,0.04345068582236741,0.03074298747612316,1.0327796204699037e-28
A27_02_1FE,0.049760736753082735,0.004868573310719332,0.015506883448112027,0.1875669921175969,0.05173689316575982
A45_02_1FE,1.5575804502449733e-47,0.00733757231852364,0.2648701983897223,0.07737349141134578,0.008991081011397548
A72_01_1FE,0.018724512805806233,0.004810203773413672,0.23049758994270086,0.09218089822962588,4.075654543969484e-05
A36_01_1FE,0.00031237780428225405,0.1445145844917145,0.03895629826196152,0.1041863091360078,0.0768015072410574
A44_01_1FE,4.77297749277698e-53,0.11186150298459742,0.016464919369074685,0.02884804016540707,0.23914585880973468
A94_02_1FE,0.020273017887283803,0.0011166733194454639,0.22536472549590977,0.0017395079119763889,0.13318570306489838
A43_02_1FE,0.003634779929671768,0.04938241542895083,0.3297602891964195,1.4460439070058874e-09,7.724460086918451e-26
A73_01_1FE,1.1044339434233192e-20,0.045328917501731555,0.07050122419800466,0.15731034111172776,0.06819325620929154
A72_02_1FE,6.090011251361794e-05,0.044628930118584605,0.2210161779181741,0.0650191632370769,0.036026180555645264
A02_01_1FE,2.4365885452332784e-70,0.2988908074126,0.07131870278671538,1.1954126292202451e-34,0.033936296368171505
AS50_3,0.25851515667355673,2.6337352967063465e-88,6.7868269889219985e-40,0.018741603797906913,1.0348300645435609e-42
A25_01_1FE,0.0001377070235803087,0.0038791507557902707,0.12514177191678647,0.19361602082013266,3.6772840885447086e-38
A70_01_1FE,0.0002249881122523965,0.061374552833571135,0.1791356037727345,0.10919331001483429,0.002382517590277121
A41_01_1FE,0.012361290251565552,0.19461655321639415,1.08746630971106e-09,0.13682890426674563,0.005251482229756262
A22_01_1FE,0.00016682519494765988,0.009512107049514407,0.04201429580486922,0.25349862222915137,2.1324967988832614e-20
AS56_12,0.27403227801794844,0.0022021297787504996,5.663807956758271e-57,4.3791370287922525e-30,0.0010025051004607156
AS53_24,0.17242123828531067,0.00036880664735495713,1.53353798929066e-05,0.10973326109894231,6.261455043814067e-42
AS53_0,0.09638366340198705,3.3268858431843013e-37,1.7987207691726853e-30,0.1833366239918125,0.010159497572825875
AS43_12,0.2259602116128906,0.0004327012721564978,9.0649503040007e-35,0.04991529433745456,0.004226746859365955
A91_01_1FE,0.00025694439851903044,0.034129227162876745,0.08071859932908614,0.1753537252939083,0.042830853249191336
